,amount,currency,exchange_rate,amount_usd
74,360.99,USD,1.0,360.99
75,50.0,EUR,1.09,54.44
76,570.25,GBP,1.27,723.37
77,894.75,GBP,1.27,1135.0
78,78.25,EUR,1.09,85.19
79,599.5,GBP,1.27,760.47
80,357.9,USD,1.0,357.9
81,969.49,EUR,1.09,1055.48
82,899.0,EUR,1.09,978.74
83,425.5,EUR,1.09,463.24
84,764.9,EUR,1.09,832.75
85,688.75,GBP,1.27,873.69
86,253.05,EUR,1.09,275.5
87,579.5,EUR,1.09,630.9
88,694.05,USD,1.0,694.05
89,790.99,GBP,1.27,1003.38
90,948.75,GBP,1.27,1203.5
91,768.05,GBP,1.27,974.28
92,179.1,USD,1.0,179.1
93,916.25,USD,1.0,916.25
94,743.75,EUR,1.09,809.72
95,98.05,USD,1.0,98.05
96,966.25,GBP,1.27,1225.7
97,415.25,USD,1.0,415.25
98,300.9,EUR,1.09,327.59
99,143.95,EUR,1.09,156.72
100,519.5,EUR,1.09,565.58
101,376.5,GBP,1.27,477.59
102,798.75,EUR,1.09,869.6
103,752.49,USD,1.0,752.49
104,888.99,EUR,1.09,967.84
105,710.95,USD,1.0,710.95
106,89.9,EUR,1.09,97.87
107,307.9,EUR,1.09,335.21
108,407.1,USD,1.0,407.1
109,157.49,EUR,1.09,171.46
110,45.05,USD,1.0,45.05
111,887.99,EUR,1.09,966.75
112,886.5,GBP,1.27,1124.54
113,814.75,GBP,1.27,1033.52
114,263.25,EUR,1.09,286.6
115,746.9,GBP,1.27,947.45
116,299.49,EUR,1.09,326.05
117,288.25,USD,1.0,288.25
118,241.05,EUR,1.09,262.43
119,553.9,GBP,1.27,702.63
120,506.49,GBP,1.27,642.49
121,254.5,USD,1.0,254.5
122,487.9,USD,1.0,487.9
123,317.75,EUR,1.09,345.93
124,823.05,EUR,1.09,896.05
125,987.9,GBP,1.27,1253.16
126,270.0,USD,1.0,270.0
127,882.0,USD,1.0,882.0
128,246.25,EUR,1.09,268.09
129,712.49,EUR,1.09,775.69
130,519.9,USD,1.0,519.9
131,548.49,GBP,1.27,695.77
132,817.05,EUR,1.09,889.52
133,149.49,EUR,1.09,162.75
134,340.99,GBP,1.27,432.55
135,988.25,USD,1.0,988.25
136,173.1,USD,1.0,173.1
137,417.05,EUR,1.09,454.04
138,822.75,GBP,1.27,1043.67
139,533.25,EUR,1.09,580.55
140,340.95,USD,1.0,340.95
141,526.0,EUR,1.09,572.66
142,836.1,GBP,1.27,1060.6
143,282.5,EUR,1.09,307.56
144,843.5,EUR,1.09,918.32
145,113.99,GBP,1.27,144.6
146,522.5,EUR,1.09,568.85
147,666.25,EUR,1.09,725.35
148,112.05,USD,1.0,112.05
149,946.95,GBP,1.27,1201.22
150,553.5,USD,1.0,553.5
151,311.1,GBP,1.27,394.63
152,847.95,USD,1.0,847.95
153,855.49,EUR,1.09,931.37
154,384.49,GBP,1.27,487.73
155,991.1,EUR,1.09,1079.01
156,771.25,GBP,1.27,978.34
157,305.95,GBP,1.27,388.1
158,641.49,USD,1.0,641.49
159,201.05,USD,1.0,201.05
160,928.49,USD,1.0,928.49
161,265.25,GBP,1.27,336.47
162,150.25,USD,1.0,150.25
163,974.99,GBP,1.27,1236.79
164,447.49,USD,1.0,447.49
165,858.99,EUR,1.09,935.18
166,116.1,GBP,1.27,147.27
167,880.95,USD,1.0,880.95
168,376.75,USD,1.0,376.75
169,469.75,USD,1.0,469.75
170,618.25,USD,1.0,618.25
171,763.1,EUR,1.09,830.79
172,932.05,EUR,1.09,1014.72
173,717.99,EUR,1.09,781.68
174,709.1,USD,1.0,709.1
175,565.75,GBP,1.27,717.66
176,143.99,USD,1.0,143.99
177,824.5,USD,1.0,824.5
178,913.0,GBP,1.27,1158.15
179,474.49,GBP,1.27,601.9
180,255.95,GBP,1.27,324.68
181,456.49,EUR,1.09,496.98
182,941.9,GBP,1.27,1194.81
183,638.75,GBP,1.27,810.26
184,434.49,USD,1.0,434.49
185,94.75,USD,1.0,94.75
186,232.0,USD,1.0,232.0
187,912.0,GBP,1.27,1156.88
188,80.75,EUR,1.09,87.91
189,12.05,GBP,1.27,15.29
190,151.9,EUR,1.09,165.37
191,575.99,USD,1.0,575.99
192,536.99,GBP,1.27,681.18
193,448.75,EUR,1.09,488.55
194,604.9,USD,1.0,604.9
195,118.5,USD,1.0,118.5
196,219.05,USD,1.0,219.05
197,249.9,USD,1.0,249.9
198,64.49,USD,1.0,64.49
199,16.05,EUR,1.09,17.47
200,556.5,USD,1.0,556.5
201,711.99,USD,1.0,711.99
202,226.25,EUR,1.09,246.32
203,423.05,USD,1.0,423.05
204,631.99,GBP,1.27,801.69
205,307.25,USD,1.0,307.25
206,77.95,EUR,1.09,84.86
207,34.25,GBP,1.27,43.45
208,95.49,EUR,1.09,103.96
209,84.95,GBP,1.27,107.76
210,718.49,GBP,1.27,911.41
211,13.95,GBP,1.27,17.7
212,924.05,GBP,1.27,1172.17
213,115.99,GBP,1.27,147.13
214,256.1,EUR,1.09,278.82
215,916.9,EUR,1.09,998.23
216,455.9,USD,1.0,455.9
217,485.25,GBP,1.27,615.55
218,185.49,USD,1.0,185.49
219,241.95,EUR,1.09,263.41
220,974.5,GBP,1.27,1236.16
221,722.5,GBP,1.27,916.5
222,175.05,GBP,1.27,222.05
223,997.99,USD,1.0,997.99
224,281.99,EUR,1.09,307.0
225,476.9,EUR,1.09,519.2
226,892.1,EUR,1.09,971.23
227,650.5,EUR,1.09,708.2
228,980.25,EUR,1.09,1067.2
229,867.5,USD,1.0,867.5
230,391.0,USD,1.0,391.0
231,134.25,EUR,1.09,146.16
232,809.75,USD,1.0,809.75
233,467.05,GBP,1.27,592.46
234,900.49,EUR,1.09,980.36
235,152.5,EUR,1.09,166.03
236,735.9,GBP,1.27,933.5
237,883.75,USD,1.0,883.75
238,265.75,USD,1.0,265.75
239,933.75,GBP,1.27,1184.47
240,600.49,EUR,1.09,653.75
241,394.49,GBP,1.27,500.42
242,369.49,GBP,1.27,468.7
243,123.5,EUR,1.09,134.45
244,828.0,GBP,1.27,1050.33
245,205.0,GBP,1.27,260.04
246,874.0,EUR,1.09,951.52
247,735.9,USD,1.0,735.9
248,600.5,EUR,1.09,653.76
249,251.49,EUR,1.09,273.8
250,312.95,USD,1.0,312.95
251,176.95,GBP,1.27,224.46
252,198.5,USD,1.0,198.5
253,793.0,USD,1.0,793.0
254,210.5,USD,1.0,210.5
255,174.1,USD,1.0,174.1
256,628.0,GBP,1.27,796.63
257,733.25,EUR,1.09,798.29
258,174.99,USD,1.0,174.99
259,865.5,USD,1.0,865.5
260,39.1,EUR,1.09,42.57
261,871.49,GBP,1.27,1105.5
262,614.99,USD,1.0,614.99
263,433.9,GBP,1.27,550.41
264,516.25,GBP,1.27,654.87
265,473.25,EUR,1.09,515.23
266,405.99,USD,1.0,405.99
267,419.49,USD,1.0,419.49
268,784.1,EUR,1.09,853.65
269,324.0,GBP,1.27,411.0
270,837.95,GBP,1.27,1062.95
271,865.9,USD,1.0,865.9
272,338.9,USD,1.0,338.9
273,428.05,EUR,1.09,466.02
274,318.5,EUR,1.09,346.75
275,398.25,GBP,1.27,505.18
276,960.95,EUR,1.09,1046.19
277,319.9,USD,1.0,319.9
278,794.49,USD,1.0,794.49
279,482.05,EUR,1.09,524.81
280,115.1,EUR,1.09,125.31
281,985.95,GBP,1.27,1250.69
282,60.99,GBP,1.27,77.37
283,276.05,EUR,1.09,300.54
284,54.75,USD,1.0,54.75
285,893.9,USD,1.0,893.9
286,230.49,EUR,1.09,250.93
287,285.25,EUR,1.09,310.55
288,987.95,EUR,1.09,1075.58
289,451.95,EUR,1.09,492.04
290,924.49,GBP,1.27,1172.73
291,102.99,GBP,1.27,130.64
292,472.75,USD,1.0,472.75
293,925.0,USD,1.0,925.0
294,984.9,GBP,1.27,1249.36
295,563.49,EUR,1.09,613.47
296,998.95,USD,1.0,998.95
297,79.49,EUR,1.09,86.54
298,533.9,USD,1.0,533.9
299,283.9,GBP,1.27,360.13
300,453.0,EUR,1.09,493.18
301,717.5,USD,1.0,717.5
302,199.1,GBP,1.27,252.56
303,274.05,USD,1.0,274.05
304,913.05,USD,1.0,913.05
305,599.25,EUR,1.09,652.4
306,18.05,EUR,1.09,19.65
307,614.9,USD,1.0,614.9
308,77.95,EUR,1.09,84.86
309,332.95,USD,1.0,332.95
310,121.9,GBP,1.27,154.63
311,134.49,EUR,1.09,146.42
312,978.75,GBP,1.27,1241.56
313,472.05,EUR,1.09,513.92
314,449.99,EUR,1.09,489.9
315,816.1,GBP,1.27,1035.23
316,922.0,USD,1.0,922.0
317,243.49,GBP,1.27,308.87
318,561.25,EUR,1.09,611.03
319,547.0,USD,1.0,547.0
320,300.0,GBP,1.27,380.55
321,358.0,EUR,1.09,389.75
322,663.9,GBP,1.27,842.16
323,340.99,GBP,1.27,432.55
324,17.0,GBP,1.27,21.56
325,156.5,GBP,1.27,198.52
326,775.1,GBP,1.27,983.22
327,451.25,USD,1.0,451.25
328,228.99,GBP,1.27,290.48
329,721.05,USD,1.0,721.05
330,69.9,USD,1.0,69.9
331,351.1,USD,1.0,351.1
332,521.75,USD,1.0,521.75
333,675.5,USD,1.0,675.5
334,854.75,USD,1.0,854.75
335,352.95,EUR,1.09,384.26
336,899.0,USD,1.0,899.0
337,500.1,EUR,1.09,544.46
338,437.9,EUR,1.09,476.74
339,246.25,GBP,1.27,312.37
340,986.95,EUR,1.09,1074.49
341,251.0,GBP,1.27,318.4
342,436.05,GBP,1.27,553.13
343,539.75,GBP,1.27,684.68
344,221.05,EUR,1.09,240.66
345,479.05,EUR,1.09,521.54
346,462.0,USD,1.0,462.0
347,68.99,USD,1.0,68.99
348,435.5,USD,1.0,435.5
349,726.5,EUR,1.09,790.94
350,141.95,GBP,1.27,180.07
351,794.49,USD,1.0,794.49
352,685.9,GBP,1.27,870.07
353,815.75,GBP,1.27,1034.79
354,977.5,EUR,1.09,1064.2
355,451.5,USD,1.0,451.5
356,106.1,GBP,1.27,134.59
357,123.25,USD,1.0,123.25
358,43.75,GBP,1.27,55.5
359,300.99,EUR,1.09,327.69
360,368.49,GBP,1.27,467.43
361,17.5,USD,1.0,17.5
362,858.5,GBP,1.27,1089.02
363,627.75,USD,1.0,627.75
364,169.1,USD,1.0,169.1
365,697.9,GBP,1.27,885.29
366,510.0,GBP,1.27,646.94
367,536.49,USD,1.0,536.49
368,54.25,USD,1.0,54.25
369,893.95,USD,1.0,893.95
370,670.5,EUR,1.09,729.97
371,831.0,GBP,1.27,1054.13
372,597.49,EUR,1.09,650.49
373,222.0,EUR,1.09,241.69
374,233.99,EUR,1.09,254.74
375,101.99,EUR,1.09,111.04
376,104.75,EUR,1.09,114.04
377,226.95,GBP,1.27,287.89
378,75.5,USD,1.0,75.5
379,318.49,USD,1.0,318.49
380,500.49,GBP,1.27,634.88
381,589.25,USD,1.0,589.25
382,990.95,GBP,1.27,1257.03
383,395.49,EUR,1.09,430.57
384,948.49,EUR,1.09,1032.62
385,266.1,EUR,1.09,289.7
386,318.05,GBP,1.27,403.45
387,42.95,EUR,1.09,46.76
388,712.5,GBP,1.27,903.81
389,14.99,EUR,1.09,16.32
390,716.5,USD,1.0,716.5
391,586.1,GBP,1.27,743.47
392,342.49,USD,1.0,342.49
393,980.99,EUR,1.09,1068.0
394,298.49,EUR,1.09,324.97
395,977.05,USD,1.0,977.05
396,692.0,GBP,1.27,877.81
397,156.95,USD,1.0,156.95
398,407.49,USD,1.0,407.49
399,758.49,USD,1.0,758.49
400,915.9,GBP,1.27,1161.83
401,656.99,USD,1.0,656.99
402,713.25,USD,1.0,713.25
403,275.75,EUR,1.09,300.21
404,354.5,EUR,1.09,385.94
405,519.25,EUR,1.09,565.31
406,651.1,USD,1.0,651.1
407,771.05,USD,1.0,771.05
408,657.9,GBP,1.27,834.55
409,541.9,EUR,1.09,589.97
410,966.75,GBP,1.27,1226.33
411,427.9,GBP,1.27,542.8
412,329.99,GBP,1.27,418.6
413,438.99,EUR,1.09,477.93
414,746.5,EUR,1.09,812.71
415,537.9,EUR,1.09,585.61
416,387.99,EUR,1.09,422.4
417,630.99,GBP,1.27,800.42
418,399.99,USD,1.0,399.99
419,41.75,USD,1.0,41.75
420,957.25,EUR,1.09,1042.16
421,965.1,GBP,1.27,1224.24
422,818.95,USD,1.0,818.95
423,452.49,GBP,1.27,573.99
424,961.0,GBP,1.27,1219.04
425,88.05,GBP,1.27,111.69
426,635.0,EUR,1.09,691.32
427,777.1,USD,1.0,777.1
428,233.5,EUR,1.09,254.21
429,501.0,USD,1.0,501.0
430,805.5,GBP,1.27,1021.79
431,217.75,EUR,1.09,237.06
432,393.05,GBP,1.27,498.59
433,222.5,EUR,1.09,242.24
434,985.75,USD,1.0,985.75
435,677.5,GBP,1.27,859.42
436,697.49,EUR,1.09,759.36
437,281.49,USD,1.0,281.49
438,491.05,EUR,1.09,534.61
439,766.25,USD,1.0,766.25
440,52.75,USD,1.0,52.75
441,584.05,EUR,1.09,635.86
442,450.0,EUR,1.09,489.92
443,801.5,GBP,1.27,1016.71
444,826.05,EUR,1.09,899.32
445,256.99,GBP,1.27,325.99
446,732.5,EUR,1.09,797.47
447,873.49,USD,1.0,873.49
448,790.99,USD,1.0,790.99
449,382.75,EUR,1.09,416.7
450,442.05,GBP,1.27,560.75
451,781.9,GBP,1.27,991.85
452,257.1,USD,1.0,257.1
453,375.25,USD,1.0,375.25
454,601.49,USD,1.0,601.49
455,280.99,GBP,1.27,356.44
456,220.0,USD,1.0,220.0
457,349.25,GBP,1.27,443.03
458,329.75,USD,1.0,329.75
459,119.95,GBP,1.27,152.16
460,209.99,EUR,1.09,228.62
461,526.1,USD,1.0,526.1
462,451.1,GBP,1.27,572.23
463,888.75,GBP,1.27,1127.39
464,383.95,EUR,1.09,418.01
465,742.25,USD,1.0,742.25
466,299.75,GBP,1.27,380.24
467,661.5,GBP,1.27,839.12
468,400.9,GBP,1.27,508.55
469,466.95,EUR,1.09,508.37
470,384.25,USD,1.0,384.25
471,365.95,EUR,1.09,398.41
472,49.1,EUR,1.09,53.46
473,636.95,USD,1.0,636.95
474,144.5,EUR,1.09,157.32
475,239.75,USD,1.0,239.75
476,788.49,USD,1.0,788.49
477,830.75,GBP,1.27,1053.82
478,935.95,GBP,1.27,1187.26
479,739.95,EUR,1.09,805.58
480,14.99,GBP,1.27,19.01
481,358.95,EUR,1.09,390.79
482,33.05,GBP,1.27,41.92
483,605.5,EUR,1.09,659.21
484,136.99,EUR,1.09,149.14
485,456.75,USD,1.0,456.75
486,473.5,EUR,1.09,515.5
487,808.0,USD,1.0,808.0
488,655.0,GBP,1.27,830.88
489,233.75,EUR,1.09,254.48
490,939.1,GBP,1.27,1191.26
491,728.95,GBP,1.27,924.68
492,603.9,GBP,1.27,766.05
493,899.49,EUR,1.09,979.27
494,612.99,EUR,1.09,667.36
495,19.95,USD,1.0,19.95
496,162.9,EUR,1.09,177.35
497,687.9,USD,1.0,687.9
498,851.25,USD,1.0,851.25
499,439.1,EUR,1.09,478.05
500,837.5,GBP,1.27,1062.38
501,344.9,EUR,1.09,375.49
502,462.95,USD,1.0,462.95
503,564.49,EUR,1.09,614.56
504,843.9,EUR,1.09,918.75
505,430.9,USD,1.0,430.9
506,856.1,GBP,1.27,1085.97
507,507.25,EUR,1.09,552.24
508,298.5,EUR,1.09,324.98
509,195.1,GBP,1.27,247.49
510,565.0,USD,1.0,565.0
511,438.99,EUR,1.09,477.93
512,352.9,USD,1.0,352.9
513,910.75,GBP,1.27,1155.3
514,612.05,GBP,1.27,776.39
515,415.05,GBP,1.27,526.5
516,248.75,GBP,1.27,315.54
517,209.49,GBP,1.27,265.74
518,813.05,GBP,1.27,1031.36
519,358.99,GBP,1.27,455.38
520,29.0,GBP,1.27,36.79
521,816.05,GBP,1.27,1035.17
522,293.1,USD,1.0,293.1
523,442.1,USD,1.0,442.1
524,636.9,EUR,1.09,693.39
525,928.75,GBP,1.27,1178.13
526,859.49,USD,1.0,859.49
527,294.05,USD,1.0,294.05
528,595.9,GBP,1.27,755.91
529,45.5,GBP,1.27,57.72
530,891.1,GBP,1.27,1130.37
531,829.5,EUR,1.09,903.08
532,788.75,EUR,1.09,858.71
533,91.0,USD,1.0,91.0
534,525.49,EUR,1.09,572.1
535,625.9,GBP,1.27,793.96
536,675.1,GBP,1.27,856.37
537,548.99,GBP,1.27,696.4
538,840.25,GBP,1.27,1065.87
539,588.95,GBP,1.27,747.09
540,926.95,EUR,1.09,1009.17
541,842.9,GBP,1.27,1069.23
542,144.95,GBP,1.27,183.87
543,772.1,EUR,1.09,840.59
544,663.9,EUR,1.09,722.79
545,157.49,GBP,1.27,199.78
546,733.95,USD,1.0,733.95
547,30.0,USD,1.0,30.0
548,265.1,USD,1.0,265.1
549,57.05,EUR,1.09,62.11
550,171.9,GBP,1.27,218.06
551,73.0,GBP,1.27,92.6
552,768.05,USD,1.0,768.05
553,649.0,GBP,1.27,823.26
554,633.9,EUR,1.09,690.13
555,431.99,GBP,1.27,547.98
556,879.0,USD,1.0,879.0
557,219.49,EUR,1.09,238.96
558,875.75,USD,1.0,875.75
559,84.25,GBP,1.27,106.87
560,995.5,GBP,1.27,1262.8
561,109.1,GBP,1.27,138.39
562,788.75,USD,1.0,788.75
563,379.25,EUR,1.09,412.89
564,107.9,GBP,1.27,136.87
565,21.25,USD,1.0,21.25
566,482.5,GBP,1.27,612.06
567,299.25,USD,1.0,299.25
568,954.05,USD,1.0,954.05
569,208.49,USD,1.0,208.49
570,425.49,GBP,1.27,539.74
571,139.49,GBP,1.27,176.94
572,911.25,EUR,1.09,992.08
573,935.49,GBP,1.27,1186.68
574,637.9,EUR,1.09,694.48
575,644.95,EUR,1.09,702.16
576,401.5,GBP,1.27,509.31
577,734.25,USD,1.0,734.25
578,602.5,EUR,1.09,655.94
579,289.95,GBP,1.27,367.8
580,812.05,USD,1.0,812.05
581,885.0,EUR,1.09,963.5
582,430.0,USD,1.0,430.0
583,953.1,USD,1.0,953.1
584,591.75,GBP,1.27,750.64
585,321.99,GBP,1.27,408.45
586,746.95,EUR,1.09,813.2
587,548.99,USD,1.0,548.99
588,576.9,GBP,1.27,731.8
589,764.95,USD,1.0,764.95
590,702.95,EUR,1.09,765.3
591,118.1,EUR,1.09,128.58
592,537.5,USD,1.0,537.5
593,602.75,GBP,1.27,764.6
594,247.5,GBP,1.27,313.96
595,509.1,EUR,1.09,554.26
596,153.25,GBP,1.27,194.4
597,763.75,EUR,1.09,831.49
598,886.95,GBP,1.27,1125.11
599,574.95,USD,1.0,574.95
600,863.25,EUR,1.09,939.82
601,254.25,GBP,1.27,322.52
602,242.1,USD,1.0,242.1
603,763.95,GBP,1.27,969.08
604,225.0,USD,1.0,225.0
605,117.95,GBP,1.27,149.62
606,631.25,EUR,1.09,687.24
607,37.25,EUR,1.09,40.55
608,636.5,GBP,1.27,807.41
609,904.49,GBP,1.27,1147.36
610,656.75,EUR,1.09,715.0
611,303.1,USD,1.0,303.1
612,296.95,EUR,1.09,323.29
613,54.9,USD,1.0,54.9
614,10.05,EUR,1.09,10.94
615,608.49,GBP,1.27,771.88
616,669.05,EUR,1.09,728.39
617,826.5,EUR,1.09,899.81
618,609.95,EUR,1.09,664.05
619,681.25,USD,1.0,681.25
620,805.99,USD,1.0,805.99
621,715.99,EUR,1.09,779.5
622,15.99,EUR,1.09,17.41
623,803.1,GBP,1.27,1018.74
624,263.99,GBP,1.27,334.87
625,215.05,EUR,1.09,234.12
626,184.5,EUR,1.09,200.87
627,896.5,USD,1.0,896.5
628,280.5,USD,1.0,280.5
629,847.9,USD,1.0,847.9
630,419.99,EUR,1.09,457.24
631,431.25,GBP,1.27,547.05
632,322.5,USD,1.0,322.5
633,877.05,EUR,1.09,954.84
634,315.99,GBP,1.27,400.84
635,95.9,GBP,1.27,121.65
636,288.95,GBP,1.27,366.54
637,13.99,USD,1.0,13.99
638,275.95,USD,1.0,275.95
639,627.95,GBP,1.27,796.56
640,109.49,GBP,1.27,138.89
641,984.75,USD,1.0,984.75
642,207.99,USD,1.0,207.99
643,262.1,EUR,1.09,285.35
644,854.99,EUR,1.09,930.83
645,358.95,GBP,1.27,455.33
646,689.5,EUR,1.09,750.66
647,806.25,GBP,1.27,1022.74
648,78.9,GBP,1.27,100.09
649,474.95,USD,1.0,474.95
650,58.95,GBP,1.27,74.78
651,375.05,EUR,1.09,408.32
652,702.1,GBP,1.27,890.62
653,216.99,EUR,1.09,236.24
654,854.99,GBP,1.27,1084.56
655,200.1,EUR,1.09,217.85
656,123.95,GBP,1.27,157.23
657,357.05,USD,1.0,357.05
658,14.9,EUR,1.09,16.22
659,130.05,GBP,1.27,164.97
660,181.25,GBP,1.27,229.92
661,823.99,GBP,1.27,1045.24
662,470.9,EUR,1.09,512.67
663,865.25,USD,1.0,865.25
664,77.25,GBP,1.27,97.99
665,751.75,EUR,1.09,818.43
666,317.49,USD,1.0,317.49
667,316.99,USD,1.0,316.99
668,317.95,USD,1.0,317.95
669,795.49,GBP,1.27,1009.09
670,845.99,USD,1.0,845.99
671,734.99,USD,1.0,734.99
672,236.95,USD,1.0,236.95
673,504.99,GBP,1.27,640.59
674,924.0,EUR,1.09,1005.96
675,414.05,USD,1.0,414.05
676,716.75,GBP,1.27,909.21
677,591.1,EUR,1.09,643.53
678,396.0,GBP,1.27,502.33
679,692.99,EUR,1.09,754.46
680,88.99,EUR,1.09,96.88
681,973.49,USD,1.0,973.49
682,790.05,USD,1.0,790.05
683,732.75,GBP,1.27,929.5
684,385.25,USD,1.0,385.25
685,36.0,USD,1.0,36.0
686,918.75,GBP,1.27,1165.44
687,109.99,EUR,1.09,119.75
688,307.99,USD,1.0,307.99
689,712.99,GBP,1.27,904.44
690,465.49,USD,1.0,465.49
691,44.05,GBP,1.27,55.88
692,530.1,USD,1.0,530.1
693,526.75,EUR,1.09,573.47
694,122.49,GBP,1.27,155.38
695,525.05,EUR,1.09,571.62
696,807.95,EUR,1.09,879.62
697,456.49,EUR,1.09,496.98
698,553.95,EUR,1.09,603.09
699,966.1,GBP,1.27,1225.51
700,62.25,GBP,1.27,78.96
701,526.9,EUR,1.09,573.64
702,633.1,GBP,1.27,803.09
703,712.99,GBP,1.27,904.44
704,544.9,EUR,1.09,593.23
705,468.25,EUR,1.09,509.78
706,479.1,USD,1.0,479.1
707,39.1,EUR,1.09,42.57
708,741.05,GBP,1.27,940.03
709,174.25,USD,1.0,174.25
710,55.75,GBP,1.27,70.72
711,546.99,EUR,1.09,595.51
712,382.99,GBP,1.27,485.83
713,748.99,USD,1.0,748.99
714,643.95,EUR,1.09,701.07
715,232.49,EUR,1.09,253.11
716,59.75,USD,1.0,59.75
717,879.1,EUR,1.09,957.08
718,915.5,USD,1.0,915.5
719,835.05,EUR,1.09,909.12
720,891.5,GBP,1.27,1130.88
721,414.75,USD,1.0,414.75
722,766.9,USD,1.0,766.9
